key	値(余剰の著者以外、全項目必須)	説明	例
number_of_authors		著者人数	8
submitter1		"著者名(""苗字,名前の頭文字.""のスタイル。スペースは入れない)"	"Kobayashi,Y."
submitter2		著者名。行が足りなければ行を増やし、余れば行を減らして良い	"Shibata,T."
submitter3		著者名。行が足りなければ行を増やし、余れば行を減らして良い	"Hirakawa,H."
submitter4		著者名。行が足りなければ行を増やし、余れば行を減らして良い	"Shigenobu,S."
submitter5		著者名。行が足りなければ行を増やし、余れば行を減らして良い	"Nishiyama,T."
submitter6		著者名。行が足りなければ行を増やし、余れば行を減らして良い	"Yamada,A."
submitter7		著者名。行が足りなければ行を増やし、余れば行を減らして良い	"Hasebe,M."
submitter8		著者名。行が足りなければ行を増やし、余れば行を減らして良い	"Kawaguchi,M."
contact_person		登録者(フルネームで記載)	Yuuki Kobayashi
email		登録者メールアドレス	kobayasi@nibb.ac.jp
phone		電話番号	81-564-55-7690
institute		組織	National Institute for Basic Biology
department		部署	Laboratory of Evolutionary Genomics
country		国	Japan
state		県	Aichi
city		市町村	Okazaki
street		以下アドレス	"Nishigonaka 38, Myodaiji"
zip		郵便番号	444-8585
reference		論文タイトル	Whole genome analysis of termite symbiotic fungi
year		出版年	2022
status		論文状況	Unpublished
hold_date		データ公開予定日	20240401
species_name		生物種名	Termitomyces intermedius
transl_table		使用するコドン表。真核生物は大抵1、原核生物は大抵11であることが多い。	1
assembly_method		アセンブリに使用したソフト名とバージョン	Falcon-unzip
assembly_name		アセンブリの名前。	LsAT787v3
genome_coverage		配列決定の際のシーケンス深度	50
sequencing_technology		使用したシーケンサー	PacBio RSII
locus_tag_prefix		Biosampleで取得した、Locus tagのprefix	LshimejAT787
locus_tag_renaming		locus_tagの付け方。0なら元ファイルそのまま、1ならprefixだけ追加、2なら数字含めて新規付け直し	2
name_position		アノテーションファイル内の遺伝子名の記されている列番号	9
function_position		アノテーションファイル内の機能の記されている列番号	8
